"1131711906060886018^'which do you like better  microsoft or apple? -- mikro'^2019-05-24^00:01:59^993"
"1131711906153160706^'missed'^2019-05-24^00:01:59^105"
"1131711924868141056^'hey face with tears of joy  how long have we been hacking one another via 'crack' software winking face it's addictive hey -senpai heavy black heart unfortunately doesn't want us to play anymore because it's dangerous expressionless face ~'^2019-05-24^00:02:03^19"
"1131711928324304896^'rt : announcing new azure security center capabilities at rsa : this is an exciting week for us at microsoft at rsa conf'^2019-05-24^00:02:04^5370"
"1131711940013830144^'which do you like better  microsoft or apple? -- taong mahal ko'^2019-05-24^00:02:07^485"
"1131711945537720320^'wish i could be there!'^2019-05-24^00:02:08^3238"
"1131711959525744646^'where is my money?'^2019-05-24^00:02:11^9"
"1131711962558214145^'office  roadmap | move sharepoint sites to a new location uforoadmap office'^2019-05-24^00:02:12^31"
"1131711967931113473^'rt : microsoft pulls huawei servers from one of its cloud catalogs'^2019-05-24^00:02:14^342"
"1131711971169062912^'which do you like better  microsoft or apple? -- microsoft but i'm an apple cuck'^2019-05-24^00:02:14^295"
"1131711976680382464^'which do you like better  microsoft or apple? -- pinya'^2019-05-24^00:02:16^291"
"1131711981789077506^'rt : nick=xbox architect ""ms added  custom instructions to the core using the tensilica instruction extension (tie) nick'^2019-05-24^00:02:17^31"
"1131711982850183171^'rt : the extensions for chrome and firefox automatically redirect untrusted navigations to an isolated windows defender applic'^2019-05-24^00:02:17^273"
"1131711994761949185^'which do you like better  microsoft or apple? -- ikaw yieeeee'^2019-05-24^00:02:20^150"
"1131711995970031616^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:02:20^593"
"1131712003008028672^'modding microsoft flight simulator x  so that i can bring my emotional support horse into the cockpit'^2019-05-24^00:02:22^426"
"1131712018887708672^'opening prayer for a meeting at work microsoft netmeeting windows  fed meeting sept'^2019-05-24^00:02:26^1"
"1131712020607328257^'which do you like better  microsoft or apple? -- not an apple user so microsoft'^2019-05-24^00:02:26^46"
"1131712038806458368^'which do you like better  microsoft or apple? -- microsoft cos i'm used to it lol'^2019-05-24^00:02:30^2586"
"1131712042300321794^'rt : we're kicking off for the evening: talking about angular as a platform thanks to '^2019-05-24^00:02:31^531"
"1131712055176622080^'will not repeat the rumours i hear  because can't independently substantiate but they're not good omerta in the valley'^2019-05-24^00:02:34^19024"
"1131712063502508032^'we all know the reason for that is so he can again have russian hacking  as they hacked into florida's machines in  microsoft does have a program that could prevent that it gives a receipt tracks when it's been counted i hope congress is aware of the program as many'^2019-05-24^00:02:36^130"
