"1132074290986278912^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:01:58^1593"
"1132074293821624321^'i wanna hang myself over the microsoft environment jargon it's literally not my fit in the corporate world this is why depression exists'^2019-05-25^00:01:59^50"
"1132074302474473474^'microsoft msoms - top stories by'^2019-05-25^00:02:01^501"
"1132074304181456896^'rt : i just interviewed about her coding journey so far how she: classical building[?] founded personal computer got jobs at microsoft and'^2019-05-25^00:02:01^676"
"1132074305829908480^'which do you like better  microsoft or apple? -- oq conseguir comprar'^2019-05-25^00:02:02^110"
"1132074311190228992^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:02:03^26"
"1132074312125603840^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:02:03^2299"
"1132074312582803457^'azure application insights availability in us west region microsoft'^2019-05-25^00:02:03^436"
"1132074320232996870^'""microsoft has teamed up with swedish distillery mackmyra and finnish consultancy fourkind to use what's being dubbed as the world's first ""bionic blender"" to create the perfect tipple""'^2019-05-25^00:02:05^624"
"1132074334330269696^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:02:08^379"
"1132074336960045058^'treasure of the sea | sot anniversary  kberrygaming youtube gaming pc steamgames steam ea origingames pcgaming rare microsoft seaofthievesanniversary seaofthieves pirate'^2019-05-25^00:02:09^13"
"1132074339925467136^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:02:10^330"
"1132074347101917185^'rt : fortnite tournaments every friday at the microsoft store'^2019-05-25^00:02:11^174"
"1132074347269697539^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:02:11^53"
"1132074351254220801^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:02:12^769"
"1132074353347244033^'which do you like better  microsoft or apple? -- i grew up with apple but i wouldn't say i have a preference for either of the two'^2019-05-25^00:02:13^238"
"1132074356325212166^'which do you like better  microsoft or apple? -- applex'^2019-05-25^00:02:14^348"
